userid,username,password,useractive,isadmin,User_IP,AllowDay,FullName,Email,JobTitle,HourlyRate,CompId,BranchId,CreatedDate
1,"Super","$2b$12$X/xxDttdfVDGMhvdeYL77e4vQDgjFEXUbaioeQFIBuC82xczrzypq",true,true,"",0,"Super Administrator","super@company.com","Super Admin",0,"1","1",Tue Jul 22 2025 22:37:54 GMT+0530 (India Standard Time)
2,"Admin","$2b$12$X/xxDttdfVDGMhvdeYL77e4vQDgjFEXUbaioeQFIBuC82xczrzypq",true,true,"",0,"System Administrator","admin@company.com","System Admin",0,"1","1",Tue Jul 22 2025 22:37:54 GMT+0530 (India Standard Time)
3,"priya.sharma","$2b$12$cPnRq1ERV8SaP2VMVHy/9eKd7hxPS7ikhXB8xqBkoJbC191l93Mt.",true,false,"",0,"Priya Sharma","priya@company.com","Project Manager",120,"1","1",Tue Jul 22 2025 22:37:54 GMT+0530 (India Standard Time)
4,"rajesh.kumar","$2b$12$cPnRq1ERV8SaP2VMVHy/9eKd7hxPS7ikhXB8xqBkoJbC191l93Mt.",true,false,"",0,"Rajesh Kumar","rajesh@company.com","Senior Project Manager",130,"1","1",Tue Jul 22 2025 22:37:54 GMT+0530 (India Standard Time)
5,"amit.patel","$2b$12$cPnRq1ERV8SaP2VMVHy/9eKd7hxPS7ikhXB8xqBkoJbC191l93Mt.",true,false,"",0,"Amit Patel","amit@company.com","Frontend Team Lead",100,"1","1",Tue Jul 22 2025 22:37:54 GMT+0530 (India Standard Time)
6,"sneha.gupta","$2b$12$cPnRq1ERV8SaP2VMVHy/9eKd7hxPS7ikhXB8xqBkoJbC191l93Mt.",true,false,"",0,"Sneha Gupta","sneha@company.com","Backend Team Lead",105,"1","1",Tue Jul 22 2025 22:37:54 GMT+0530 (India Standard Time)
7,"vikram.singh","$2b$12$cPnRq1ERV8SaP2VMVHy/9eKd7hxPS7ikhXB8xqBkoJbC191l93Mt.",true,false,"",0,"Vikram Singh","vikram@company.com","Frontend Developer",75,"1","1",Tue Jul 22 2025 22:37:54 GMT+0530 (India Standard Time)
8,"kavya.reddy","$2b$12$cPnRq1ERV8SaP2VMVHy/9eKd7hxPS7ikhXB8xqBkoJbC191l93Mt.",true,false,"",0,"Kavya Reddy","kavya@company.com","Backend Developer",80,"1","1",Tue Jul 22 2025 22:37:54 GMT+0530 (India Standard Time)
9,"arjun.mehta","$2b$12$cPnRq1ERV8SaP2VMVHy/9eKd7hxPS7ikhXB8xqBkoJbC191l93Mt.",true,false,"",0,"Arjun Mehta","arjun@company.com","Full Stack Developer",85,"1","1",Tue Jul 22 2025 22:37:54 GMT+0530 (India Standard Time)
10,"riya.jain","$2b$12$cPnRq1ERV8SaP2VMVHy/9eKd7hxPS7ikhXB8xqBkoJbC191l93Mt.",true,false,"",0,"Riya Jain","riya@company.com","React Developer",78,"1","1",Tue Jul 22 2025 22:37:54 GMT+0530 (India Standard Time)
11,"rohit.agarwal","$2b$12$cPnRq1ERV8SaP2VMVHy/9eKd7hxPS7ikhXB8xqBkoJbC191l93Mt.",true,false,"",0,"Rohit Agarwal","rohit@company.com","UI/UX Designer",85,"1","1",Tue Jul 22 2025 22:37:54 GMT+0530 (India Standard Time)
12,"pooja.mishra","$2b$12$cPnRq1ERV8SaP2VMVHy/9eKd7hxPS7ikhXB8xqBkoJbC191l93Mt.",true,false,"",0,"Pooja Mishra","pooja@company.com","Graphic Designer",70,"1","1",Tue Jul 22 2025 22:37:54 GMT+0530 (India Standard Time)
13,"anjali.verma","$2b$12$cPnRq1ERV8SaP2VMVHy/9eKd7hxPS7ikhXB8xqBkoJbC191l93Mt.",true,false,"",0,"Anjali Verma","anjali@company.com","HR Manager",100,"1","1",Tue Jul 22 2025 22:37:54 GMT+0530 (India Standard Time)
14,"suresh.yadav","$2b$12$cPnRq1ERV8SaP2VMVHy/9eKd7hxPS7ikhXB8xqBkoJbC191l93Mt.",true,false,"",0,"Suresh Yadav","suresh@company.com","HR Coordinator",65,"1","1",Tue Jul 22 2025 22:37:54 GMT+0530 (India Standard Time)
